DATE,NASDAQ100
10/8/2008,1330.01
10/9/2008,1275.1
10/10/2008,1269.8
10/13/2008,1429.54
10/14/2008,1364.59
10/15/2008,1244.23
10/16/2008,1312.97
10/17/2008,1311.72
10/20/2008,1352.76
10/21/2008,1283.43
10/22/2008,1237.09
10/23/2008,1239.16
10/24/2008,1202.27
10/27/2008,1169.78
10/28/2008,1297.57
10/29/2008,1302.12
10/30/2008,1333.94
10/31/2008,1334.78
11/3/2008,1334.75
11/4/2008,1378.4
11/5/2008,1299.98
11/6/2008,1241.97
11/7/2008,1271.62
11/10/2008,1251
11/11/2008,1225.59
11/12/2008,1165.38
11/13/2008,1240.93
11/14/2008,1179.63
11/17/2008,1151.96
11/18/2008,1155.75
11/19/2008,1087.6
11/20/2008,1036.51
11/21/2008,1085.57
11/24/2008,1154.34
11/25/2008,1142.58
11/26/2008,1193.09
11/27/2008,.
11/28/2008,1185.75
12/1/2008,1091.16
12/2/2008,1130
12/3/2008,1166.2
12/4/2008,1127.75
12/5/2008,1177.87
12/8/2008,1225.06
12/9/2008,1212.45
12/10/2008,1222.38
12/11/2008,1180.46
12/12/2008,1206.65
12/15/2008,1181.87
12/16/2008,1243.49
12/17/2008,1225.86
12/18/2008,1204.69
12/19/2008,1217.19
12/22/2008,1189.15
12/23/2008,1183.19
12/24/2008,1184.3
12/25/2008,.
12/26/2008,1185.44
12/29/2008,1173.15
12/30/2008,1201.34
12/31/2008,1211.65
1/1/2009,.
1/2/2009,1263.7
1/5/2009,1262.52
1/6/2009,1274.49
1/7/2009,1238.6
1/8/2009,1252.52
1/9/2009,1223.01
1/12/2009,1201.13
1/13/2009,1202.65
1/14/2009,1163.42
1/15/2009,1183.52
1/16/2009,1198.14
1/19/2009,.
1/20/2009,1136.61
1/21/2009,1185.76
1/22/2009,1168.08
1/23/2009,1175.89
1/26/2009,1184.56
1/27/2009,1194.41
1/28/2009,1235.91
1/29/2009,1203.85
1/30/2009,1180.25
2/2/2009,1195.75
2/3/2009,1215.66
2/4/2009,1215.43
2/5/2009,1245.11
2/6/2009,1277.49
2/9/2009,1281.65
2/10/2009,1229.29
2/11/2009,1227.05
2/12/2009,1242.81
2/13/2009,1236.85
2/16/2009,.
2/17/2009,1187.04
2/18/2009,1188.77
2/19/2009,1167.89
2/20/2009,1172.71
2/23/2009,1128.97
2/24/2009,1171.45
2/25/2009,1160.83
2/26/2009,1127.1
2/27/2009,1116.99
3/2/2009,1076.67
3/3/2009,1080.67
3/4/2009,1110.3
3/5/2009,1074.52
3/6/2009,1064.7
3/9/2009,1043.87
3/10/2009,1112.44
3/11/2009,1125.95
3/12/2009,1164.71
3/13/2009,1168.52
3/16/2009,1145.45
3/17/2009,1192.17
3/18/2009,1206.96
3/19/2009,1204.21
