date,m1_supply,gdp,fed_funds_rate,fed_bal,gov_debt,velocity_money,nasdaq100,btc_price,housing_index,commod_index,energy_index,cpi_index,unit_labor,personal_savings,personal_expenses,rent_prim_res
2008-11,1514.6,14549.105666666666,0.39,2074643.0,10842183.666666666,9.60590628988952,1334.75,,349.13,114.359339707555,150.200782451237,213.153,100.49533333333333,644.1876666666667,9885.2,246.681
2008-12,1601.7,14490.003333333334,0.16,2137435.0,10984562.333333334,9.046640028303262,1091.16,,349.99,101.904734420369,122.672243012022,211.398,99.30366666666666,642.4223333333333,9801.5,247.278
2009-01,1582.8,14430.901,0.15,2121949.0,11126941.0,9.11732436189032,1143.455,,350.85,104.427579022121,125.378276708955,211.933,98.112,640.657,9847.2,247.974
2009-02,1567.2,14414.346,0.22,1851813.0,11266385.666666666,9.19751531393568,1195.75,,347.78333333333336,100.92348256431,117.722420760494,212.705,98.24033333333333,678.1556666666667,9824.5,248.305
2009-03,1578.9,14397.791000000001,0.18,1901834.0,11405830.333333334,9.118874532902653,1076.67,,344.71666666666664,100.944839840212,118.843901173609,212.495,98.36866666666667,715.6543333333334,9773.2,248.639
2009-04,1611.6,14381.236,0.15,2079411.0,11545275.0,8.923576569868455,1252.51,,341.65,102.904605315295,119.20519973597,212.709,98.497,753.153,9772.5,248.899
2009-05,1617.5,14403.784666666666,0.18,2080452.0,11666792.666666666,8.904967336424523,1396.62,,338.6766666666667,111.797397368604,133.97993538685,213.022,98.243,689.515,9791.6,249.069
2009-06,1658.8,14426.333333333334,0.21,2078237.0,11788310.333333334,8.696849127883612,1477.12,,335.7033333333333,120.502487414329,152.982953218604,214.79,97.989,625.8770000000001,9852.4,249.092
2009-07,1662.5,14448.882,0.16,2006220.0,11909828.0,8.691056842105263,1481.34,,332.73,116.328952708189,143.464313930351,214.726,97.735,562.239,9886.3,248.994
2009-08,1660.0,14516.337333333333,0.16,1989654.0,12043668.333333334,8.744781526104417,1628.12,,331.88666666666666,122.795871392493,154.867717956959,215.445,97.45466666666667,575.7013333333333,10004.1,249.029
2009-09,1664.9,14583.792666666666,0.15,2084026.0,12177508.666666666,8.759560734378441,1595.84,,331.04333333333335,119.135919568377,148.563669439578,215.861,97.17433333333334,589.1636666666667,9927.8,248.965
2009-10,1677.7,14651.248,0.12,2138587.0,12311349.0,8.732936758657686,1666.41,,330.2,126.645989122524,161.88819495353,216.509,96.894,602.626,9976.7,248.888
2009-11,1683.0,14689.035666666667,0.12,2165358.0,12465273.666666666,8.727888096652803,1672.91,,328.88666666666666,131.509059740893,167.28240524265,217.234,96.50933333333333,613.1846666666667,9985.7,248.886
2009-12,1692.8,14726.823333333334,0.12,2204380.0,12619198.333333334,8.699682971014493,1787.71,,327.5733333333333,134.045837287127,169.081397747495,217.347,96.12466666666667,623.7433333333333,10052.6,248.999
2010-01,1674.7,14764.611,0.11,2235669.0,12773123.0,8.816272168149519,1774.2150000000001,,326.26,139.839679297432,178.41947067921,217.488,95.74,634.302,10056.1,249.144
2010-02,1699.8,14836.471666666666,0.13,2249553.0,12916012.666666666,8.728363140761658,1760.72,,325.2733333333333,136.552742218458,172.419006521773,217.281,96.01433333333333,667.9856666666667,10093.4,249.017
2010-03,1711.9,14908.332333333334,0.16,2280227.0,13058902.333333334,8.70864672780731,1846.4,,324.2866666666667,141.524805511806,177.043925116846,217.353,96.28866666666667,701.6693333333333,10156.0,249.089
2010-04,1699.0,14980.193,0.2,2307637.0,13201792.0,8.81706474396704,1959.56,,323.3,149.313117882383,185.834204822904,217.403,96.563,735.353,10182.3,249.012
2010-05,1710.1,15033.997,0.2,2326221.0,13321735.333333334,8.791297000175428,2031.6,,324.35,140.402469952676,171.381834659046,217.29,96.52366666666667,737.052,10210.8,248.925
2010-06,1731.6,15087.801,0.18,2336305.0,13441678.666666666,8.713213790713791,1835.04,,325.4,137.719023925784,171.550033939702,217.199,96.48433333333332,738.751,10231.3,248.999
2010-07,1724.0,15141.605,0.18,2332114.0,13561622.0,8.782833526682134,1734.41,,326.45,137.843341038294,170.909086633409,217.605,96.445,740.45,10268.1,249.126
2010-08,1748.7,15197.560333333333,0.19,2326563.0,13716153.0,8.690776195650102,1898.99,,325.6766666666667,141.643776111645,172.006819754741,217.923,96.482,736.0166666666667,10307.1,249.024
2010-09,1766.2,15253.515666666666,0.19,2302106.0,13870684.0,8.636346770845128,1820.05,,324.9033333333333,144.433606285338,171.978027456354,218.275,96.51899999999999,731.5833333333334,10327.1,249.368
2010-10,1780.4,15309.471,0.19,2308176.0,14025215.0,8.598894068748596,1996.6,,324.13,152.207460939239,181.749423910817,219.035,96.556,727.15,10386.4,249.618
2010-11,1828.4,15323.462,0.19,2300443.0,14106848.0,8.380803981623277,2128.42,,321.13,157.064601960867,188.430479797526,219.59,97.37866666666666,755.245,10433.6,250.317
2010-12,1836.7,15337.453,0.18,2347007.0,14188481.0,8.350548810366417,2162.83,,318.13,166.162039399656,200.596439773715,220.472,98.20133333333334,783.3399999999999,10471.0,250.986
2011-01,1846.3,15351.444,0.17,2436162.0,14270114.0,8.314707252342522,2254.23,,315.13,172.458767894064,208.932671985744,221.187,99.024,811.435,10514.3,251.555
2011-02,1870.1,15420.141,0.16,2469513.0,14294438.333333334,8.24562376343511,2324.95,,313.2866666666667,178.70444958861,216.000528575678,221.898,98.74733333333333,801.178,10540.6,251.829
2011-03,1896.5,15488.838,0.14,2545231.0,14318762.666666666,8.167064592670709,2315.26,,311.4433333333333,184.783151963602,233.841821904619,223.046,98.47066666666667,790.9209999999999,10619.7,252.145
2011-04,1897.0,15557.535,0.1,2648776.0,14343087.0,8.201125461254613,2342.92,,309.6,194.306033357694,250.730026968411,224.093,98.194,780.664,10652.1,252.221
2011-05,1941.6,15587.583666666667,0.09,2718848.0,14492171.333333334,8.028215732729022,2404.24,,310.37,186.867635951463,238.786784479992,224.806,98.542,789.4873333333334,10672.2,252.393
2011-06,1963.4,15617.632333333333,0.09,2788955.0,14641255.666666666,7.954381345285388,2322.48,,311.14000000000004,184.913285745087,236.265966676199,224.806,98.89,798.3106666666666,10694.8,252.592
2011-07,1996.0,15647.681,0.07,2870296.0,14790340.0,7.8395195390781565,2361.39,,311.91,187.88328347747,241.704074238477,225.395,99.238,807.134,10731.6,253.085
2011-08,2115.4,15712.543,0.1,2867363.0,14934540.0,7.427693580410324,2354.05,,312.38666666666666,183.210643311126,229.029431380039,226.106,98.56766666666667,813.0156666666667,10750.3,254.003
2011-09,2120.0,15777.405,0.08,2858789.0,15078740.0,7.442172169811321,2219.05,,312.86333333333334,180.653747319119,229.291360431155,226.597,97.89733333333334,818.8973333333333,10783.2,254.628
2011-10,2128.5,15842.267,0.07,2859823.0,15222940.0,7.442925534413907,2085.04,,313.34,174.898446897193,227.72318632522,226.75,97.227,824.779,10802.9,255.651
2011-11,2182.0,15917.786,0.08,2822149.0,15350799.333333334,7.295043996333639,2298.37,,312.24666666666667,176.807901196487,234.303517671319,227.169,97.855,875.0283333333333,10806.8,256.367
2011-12,2165.7,15993.305,0.07,2820774.0,15478658.666666666,7.384820150528698,2309.2,,311.1533333333333,173.390492144848,231.531830401329,227.223,98.483,925.2776666666667,10817.8,257.189
2012-01,2201.8,16068.824,0.08,2917845.0,15606518.0,7.298039785629939,2398.6899999999996,,310.06,176.456379874451,234.561993004392,227.842,99.111,975.527,10896.8,257.714
2012-02,2207.1,16114.926,0.1,2925040.0,15689357.666666666,7.301402745684382,2488.18,,309.59333333333336,181.918468947264,242.492106949393,228.329,99.13766666666668,1006.3773333333334,10987.2,258.184
2012-03,2227.8,16161.028,0.13,2884816.0,15772197.333333334,7.25425442140228,2643.54,,309.12666666666667,185.631243934266,251.477586578673,228.807,99.16433333333333,1037.2276666666667,10993.9,258.569
2012-04,2237.3,16207.13,0.14,2865568.0,15855037.0,7.244057569391677,2784.42,,308.66,182.596822240735,244.602440376174,229.187,99.191,1068.078,11018.5,258.922
2012-05,2256.2,16244.6,0.16,2864377.0,15925438.0,7.19998227107526,2726.92,,310.03000000000003,171.938519978354,226.811417850343,228.713,99.256,1035.6236666666666,11006.8,259.231
2012-06,2275.3,16282.07,0.16,2852083.0,15995839.0,7.1560101964576095,2458.83,,311.4,160.920296994703,203.84606219857,228.524,99.321,1003.1693333333334,10989.8,259.407
