date,nasdaq100,btc_price,housing_index,commod_index,energy_index
2013-07,2927.35,,326.28,165.994366693682,225.475015758846
2013-08,3126.3,,327.15,168.5851083046,230.587951532211
2013-09,0.0,,328.02,167.962245671055,232.537593803913
2013-10,3253.05,,328.89,165.397114175621,227.898978145242
2013-11,3379.76,,329.8,163.565587954207,223.872487853245
2013-12,3481.15,,330.71,167.17527927191,231.95105343407
2014-01,0.0,,331.62,165.526537724477,227.618249803187
2014-02,3440.5,,333.76,169.350272659741,233.574505017621
2014-03,3668.37,,335.90000000000003,168.62977360677,227.200770414853
2014-04,3658.4,,338.04,170.105532955183,229.025754826052
2014-05,3594.36,,339.67333333333335,168.070779566853,229.448481461139
2014-06,3732.96,,341.3066666666667,168.351310351098,233.603396624537
2014-07,3894.33,,342.94,164.797642103171,225.162905183716
2014-08,3879.67,,343.86333333333334,159.253727420342,216.431550059979
2014-09,0.0,,344.78666666666663,154.167918007637,209.128667563681
2014-10,3984.74,,345.71,145.765382671243,191.532205264236
2014-11,4169.28,,346.9833333333333,139.118864477708,177.382124804231
2014-12,4287.81,,348.25666666666666,125.92723660929,147.739732100836
2015-01,0.0,,349.53,113.974758439255,122.036323802349
2015-02,4188.59,,351.4233333333333,117.198881925442,133.647404465726
2015-03,4483.05,,353.31666666666666,113.248246566578,128.307725292163
2015-04,4311.26,,355.21,114.580373947608,130.528800262361
2015-05,4479.06,,356.89,118.119367498046,137.483493678026
2015-06,4521.85,,358.57,115.742643374841,134.156901538063
2015-07,4429.23,,360.25,109.327539142244,122.938901012481
2015-08,4580.46,,361.22333333333336,102.354659760561,109.227291781617
2015-09,4142.63,,362.19666666666666,101.881826679377,109.025265965182
2015-10,4192.96,,363.17,102.040725243686,108.899219049416
2015-11,4703.92,,364.2866666666667,96.0093230576381,101.266141873884
2015-12,4716.16,,365.4033333333333,90.5728796066738,90.2679848842885
2016-01,0.0,,366.52,85.2731849371398,77.6354685322573
2016-02,4286.56,,368.81,87.0150888635958,77.7887428262812
2016-03,4333.61,,371.09999999999997,93.5966567628088,87.6656184920498
2016-04,4532.08,,373.39,96.9279430586823,92.5437288917509
2016-05,4381.3,,375.6033333333333,100.832288233466,101.483666634806
2016-06,4520.07,,377.81666666666666,103.515057896825,106.692990860292
2016-07,4437.44,,380.03,102.794468094437,101.772659015326
2016-08,4756.04,,381.02,103.156242149091,103.376309915595
2016-09,4783.94,,382.01,103.17943979476,104.633556078718
2016-10,4866.62,,383.0,106.720403357688,115.260960292251
2016-11,4766.94,,383.93666666666667,105.525639224854,108.444292816484
2016-12,4734.1,,384.87333333333333,111.463587626653,122.702005644189
2017-01,0.0,,385.81,115.704869800857,127.826696489188
2017-02,5152.69,,388.69,116.331460765317,125.617606834217
2017-03,5390.99,,391.57,110.842228738389,115.772553832653
2017-04,5432.2,,394.45,111.112790999156,119.225759330065
2017-05,5629.63,,396.47666666666663,108.927676016284,114.46223948284
2017-06,5816.51,,398.50333333333333,105.675238726499,107.906362641047
2017-07,5596.96,,400.53,108.228429724116,111.27206475027
2017-08,5895.17,,401.6433333333333,111.044240889913,117.624086183498
2017-09,5987.9,,402.75666666666666,114.09346486128,125.572515892763
2017-10,5981.92,,403.87,115.562701096136,129.925088291476
2017-11,6248.65,,405.76666666666665,120.500268941428,140.765423018447
2017-12,6337.87,,407.66333333333336,121.992279700185,143.637979173419
2018-01,0.0,8520.01,409.56,128.461669849086,152.812740382656
2018-02,6901.5,8520.01,412.08,126.349051212069,147.221807973306
2018-03,6750.54,10895.92,414.6,126.116602528028,147.282110157735
2018-04,6390.84,6816.01,417.12,128.083658939941,151.756233761497
2018-05,6681.961,9072.29,418.81333333333333,132.836006812929,162.898254687632
2018-06,7083.926,7514.32,420.50666666666666,131.646123912483,163.175141815922
2018-07,7097.82,6349.5,422.2,129.840947702809,164.473377966392
2018-08,7272.887,7603.99,422.68666666666667,127.500840494068,163.167846533993
2018-09,0.0,7191.08,423.17333333333335,131.720310839944,172.605783575972
2018-10,7645.453,6572.83,423.66,132.817541291737,172.287544875428
2018-11,7069.172,6344.0,425.2366666666667,121.454747024837,148.043063047674
2018-12,7062.133,4142.01,426.81333333333333,115.900162011294,132.6931816386
2019-01,0.0,3826.1,428.39,117.018940738945,132.837897195512
2019-02,6875.52,3437.5,430.7633333333333,118.744238482665,135.187803319121
2019-03,7151.57,3806.17,433.13666666666666,119.364307743277,137.135341779574
2019-04,7478.414,4137.0,435.51,122.77998094573,142.678897730099
2019-05,7751.848,5321.15,437.3566666666667,119.639814357328,137.663088499814
2019-06,6978.016,8558.01,439.2033333333333,114.86701571619,122.075818909474
2019-07,7768.137,10570.62,441.05,117.375106218246,125.732460316235
2019-08,7801.145,10417.24,442.36333333333334,112.040003428534,117.138291954721
2019-09,0.0,9769.64,443.6766666666667,114.073675334073,122.437301774977
2019-10,7684.141,8323.43,444.99,112.652198070281,119.797167150738
2019-11,8161.168,9268.0,446.7033333333333,116.427399713612,127.631461684005
2019-12,8309.262,7413.84,448.4166666666667,119.29872697487,131.104220041825
2020-01,0.0,7174.32,450.13,118.811698214241,126.142073238145
2020-02,9126.23,9375.06,451.62,110.137603592061,109.289359074945
2020-03,8877.977,8490.3,453.11,93.1705055905076,72.9941675035191
2020-04,7486.285,6719.39,454.6,85.0490316170515,55.8905124412157
2020-05,8718.18,8813.9,457.2366666666667,91.7174653391091,68.0114992942952
2020-06,9598.887,10212.38,459.87333333333333,99.8921663876564,82.3975635948022
