date,cpi_index,unit_labor,personal_savings,personal_expenses,rent_prim_res
2020-03,258.124,116.862,3835.1466666666665,13806.0,339.519
2020-04,256.092,117.487,4852.129,12082.4,340.135
2020-05,255.868,116.26533333333333,4209.385333333334,13129.4,340.811
2020-06,256.986,115.04366666666667,3566.6416666666664,13937.5,341.294
2020-07,258.278,113.822,2923.898,14230.1,341.95
2020-08,259.411,115.075,2746.6473333333333,14352.8,342.444
2020-09,260.029,116.328,2569.396666666667,14583.3,342.91
2020-10,260.286,117.581,2392.146,14626.1,343.615
2020-11,260.813,117.16066666666667,2924.34,14561.0,344.039
2020-12,262.035,116.74033333333333,3456.534,14571.1,344.455
2021-01,262.65,116.32,3988.728,14932.2,344.758
2021-02,263.638,116.75133333333333,3318.6776666666665,14843.2,345.242
2021-03,264.914,117.18266666666666,2648.6273333333334,15619.1,345.717
2021-04,266.67,117.614,1978.577,15712.6,346.267
2021-05,268.444,118.49733333333333,1875.4086666666667,15767.9,347.016
2021-06,270.559,119.38066666666667,1772.2403333333332,15960.1,347.833
2021-07,271.764,120.264,1669.072,16027.9,348.469
2021-08,272.87,120.622,1558.4103333333333,16146.0,349.71
2021-09,274.028,120.97999999999999,1447.7486666666666,16268.0,351.255
2021-10,276.522,121.338,1337.087,16473.7,352.892
2021-11,278.711,122.17433333333332,1153.025,16557.9,354.526
2021-12,280.887,123.01066666666667,968.963,16522.4,355.931
2022-01,282.599,123.847,784.901,16725.6,357.737
2022-02,284.61,124.51766666666666,720.3153333333333,16844.5,359.627
2022-03,287.472,125.18833333333333,655.7296666666666,17054.2,361.083
2022-04,288.611,125.859,591.144,17115.6,362.951
2022-05,291.268,126.06466666666667,563.3136666666667,17231.1,365.116
2022-06,294.728,126.27033333333333,535.4833333333333,17437.4,367.927
2022-07,294.628,126.476,507.653,17420.3,370.448
2022-08,295.32,126.58833333333334,522.7213333333333,17550.9,373.283
2022-09,296.539,126.70066666666666,537.7896666666667,17656.8,376.569
2022-10,297.987,126.813,552.858,17797.9,379.436
2022-11,298.598,126.813,552.858,17778.8,382.562
2022-12,298.99,126.813,552.858,17737.2,385.649
